HV_top,HV_bot,current_top,current_bot,muon_stream,gamma_stream,muon_CM,gamma_CM,muon_CS,gamma_CS,muon_CM_err,gamma_CM_err,muon_CS_err,gamma_CS_err,efficiency,eff_error,noiseGammaRate,deltaV,current,deltaV_err
6300.0,6300.0,3.267832145824299,0.30000001192092896,0.0,0.0,1.1428571428571428,1.0977443609022557,2.0,1.2465753424657535,0.0,0.0,0.0,0.0,0.006273012409654985,0.0024388830437147204,4.436438530891808,0.41216191316089784,3.567832157745228,0.023146255245400683
6500.0,6500.0,4.064485919809787,0.6000000238418579,0.0,0.0,1.205128205128205,1.1477927063339732,1.2340425531914894,1.1421404682274248,0.0,0.013435700575815668,0.0,0.013214848392713918,0.035510428372698605,0.005758064999268808,16.817501185055193,0.7842316428465581,4.664485943651645,0.04319618291790154
6700.0,6700.0,5.4700000286102295,1.2999999523162842,0.0037243947858473,0.0002813731007315701,1.0804195804195804,1.2383673469387755,1.0970873786407767,1.174686882003955,0.013986013986013957,0.015510204081632617,0.014388031195288864,0.014530632003955102,0.2615325467957806,0.013434968801368026,49.97887312819865,1.575553868649828,6.769999980926514,0.08465221895138164
6900.0,6900.0,7.430000066757202,2.5999999046325684,0.009699321047526674,0.0014351320321469576,1.0676202860858257,1.5053598774885146,1.2070645554202193,1.2929806714140386,0.01950585175552666,0.041347626339969246,0.021657856855626045,0.034564829829880184,0.7497238408918165,0.013556498500958946,109.21601951358294,2.88903282826973,10.02999997138977,0.15179818124541702
7100.0,7100.0,9.806557217582327,4.509836056193367,0.017674418604651163,0.005696382796923953,1.079673135852911,1.7463126843657817,1.6121097445600756,1.5323359073359073,0.07763023493360577,0.07501053518752632,0.10813798816113485,0.0631086977107338,0.9259684389700725,0.008057022687361548,181.25827565342954,4.633775190274808,14.316393273775695,0.239866444445768
7200.0,7200.0,11.257746508423711,5.530985885942486,0.019550342130987292,0.0079860244571999,1.0662525879917184,1.8295980078263963,1.9252427184466019,1.7075636787867003,0.12318840579710155,0.11454998221273582,0.1993941544779334,0.10061033935394637,0.9625436439890089,0.005995460014295809,220.15586895135408,5.563234516105301,16.788732394366196,0.2870358949831255
7300.0,7300.0,12.620000060399374,6.569999933242798,0.022395326192794548,0.01334989133809376,1.0780287474332648,1.8929188255613125,2.237142857142857,1.8930200729927007,0.1735112936344969,0.1390328151986182,0.3101535216219382,0.1295266603280174,0.9696592861676273,0.005413219295755438,260.22309588561666,6.480984853370875,19.18999999364217,0.33347619958989316
7400.0,7400.0,14.467123292896845,7.94931520827829,0.02980769230769231,0.018391368317802845,1.075834175935288,1.9472981987991995,2.617481203007519,2.0851318944844124,0.2012133468149646,0.17811874583055354,0.41241390292834224,0.17474269172232826,0.9798718370029577,0.004421209810191688,303.0302607865529,7.69549474885197,22.416438501175136,0.3950183649925641
7500.0,7500.0,16.114666544596354,9.618666776021321,0.04854368932038835,0.026909277293695542,1.0911917098445596,2.0225352112676056,2.9582146248812915,2.2862116991643453,0.2155440414507772,0.2049295774647888,0.4879529278154706,0.21033436751717494,0.9844566981585946,0.0039514538282004975,344.63885962602046,9.035067808681733,25.733333320617675,0.46221244629849084
7600.0,7600.0,17.704054162308978,11.408108053980646,0.06087824351297405,0.037447257383966245,1.079175704989154,2.0766283524904217,3.301507537688442,2.421670580342167,0.2537960954446856,0.22605363984674298,0.6286027370375065,0.23773471587385675,0.979497907949791,0.004619617673726559,394.1741508247135,10.406463182026817,29.112162216289626,0.5308947905316622
